dataset,construction_seed,metric,spearman_rho,kendall_tau
polyvore_d_clean,42,cp_auc,1.0,1.0
polyvore_d_clean,42,fitb_accuracy,0.9642857142857145,0.9047619047619049
polyvore_d_clean,43,cp_auc,1.0,1.0
polyvore_d_clean,43,fitb_accuracy,0.9642857142857145,0.9047619047619049
polyvore_d_clean,44,cp_auc,1.0,1.0
polyvore_d_clean,44,fitb_accuracy,0.9642857142857145,0.9047619047619049
polyvore_d_clean,45,cp_auc,0.8928571428571429,0.8095238095238096
polyvore_d_clean,45,fitb_accuracy,0.9642857142857145,0.9047619047619049
polyvore_d_clean,46,cp_auc,1.0,1.0
polyvore_d_clean,46,fitb_accuracy,0.9642857142857145,0.9047619047619049
iqon3000_clean,42,cp_auc,1.0,1.0
iqon3000_clean,42,fitb_accuracy,1.0,1.0
iqon3000_clean,43,cp_auc,1.0,1.0
iqon3000_clean,43,fitb_accuracy,0.9642857142857145,0.9047619047619049
iqon3000_clean,44,cp_auc,0.9642857142857145,0.9047619047619049
iqon3000_clean,44,fitb_accuracy,0.9642857142857145,0.9047619047619049
iqon3000_clean,45,cp_auc,1.0,1.0
iqon3000_clean,45,fitb_accuracy,0.9642857142857145,0.9047619047619049
iqon3000_clean,46,cp_auc,1.0,1.0
iqon3000_clean,46,fitb_accuracy,1.0,1.0
